name,max_temp,min_temp
abies balsamea,80,60
abies balsamea var. balsamea,80,60
abies balsamea var. phanerolepis,80,60
abies bracteata,79.4,39.4
abies concolor,62,22
abies concolor var. concolor,62,22
abies concolor var. lowiana,68.4,28.4
abies fraseri,75.1,35.1
abies grandis,80,60
abies homolepis,65.4,25.4
abies lasiocarpa,80,60
abies lasiocarpa var. arizonica,73.4,33.4
abies lasiocarpa var. lasiocarpa,80,60
abies magnifica,68.4,28.4
abies procera,68.3,28.3
abies ×shastensis,68.4,28.4
abildgaardia,80,60
abildgaardia ovata,80,60
abronia,80,60
abronia alpina,79.4,39.4
abronia ameliae,84.8,44.8
abronia ammophila,62,22
abronia angustifolia,84.8,44.8
abronia argillosa,68.6,28.6
abronia bigelovii,73.4,33.4
abronia carletonii,84.8,44.8
abronia elliptica,62,22
abronia fragrans,62,22
abronia gracilis,79.4,39.4
abronia insularis,79.4,39.4
abronia latifolia,80,60
abronia macrocarpa,84.8,44.8
abronia maritima,79.4,39.4
abronia mellifera,62,22
abronia minor,79.4,39.4
abronia nana,68.6,28.6
abronia nana var. covillei,69.9,29.9
abronia nana var. harrisii,68.6,28.6
abronia nana var. nana,68.6,28.6
abronia neurophylla,79.4,39.4
abronia pogonantha,69.9,29.9
abronia turbinata,68.4,28.4
abronia umbellata,80,60
abronia umbellata ssp. breviflora,80,60
abronia umbellata ssp. umbellata,79.4,39.4
abronia villosa,68.6,28.6
abronia villosa var. aurita,79.4,39.4
abronia villosa var. villosa,68.6,28.6
abrus,80,60
abrus precatorius,80,60
abutilon,80,60
abutilon abutiloides,80,60
abutilon auritum,90,50
abutilon berlandieri,84.8,44.8
abutilon eremitopetalum,90,50
abutilon fruticosum,84.8,44.8
abutilon grandifolium,90,50
abutilon hirtum,80,60
abutilon hulseanum,80,60
abutilon hypoleucum,84.8,44.8
abutilon incanum,73.4,33.4
abutilon indicum,80,60
abutilon malacum,84.8,44.8
abutilon menziesii,90,50
abutilon mollicomum,84.8,44.8
abutilon palmeri,79.4,39.4
abutilon parishii,80.3,40.3
abutilon parvulum,68.6,28.6
abutilon permolle,80,60
abutilon reventum,80.3,40.3
abutilon sandwicense,90,50
abutilon theophrasti,80,60
abutilon thurberi,80.3,40.3
abutilon trisulcatum,84.8,44.8
abutilon wrightii,84.8,44.8
acacia,80,60
acacia aneura,90,50
acacia angustissima,84.8,44.8
acacia angustissima var. chisosiana,84.8,44.8
acacia angustissima var. hirta,84.8,44.8
acacia angustissima var. shrevei,80.3,40.3
acacia angustissima var. suffrutescens,73.4,33.4
acacia angustissima var. texensis,84.8,44.8
acacia auriculiformis,90.7,50.7
acacia baileyana,79.4,39.4
acacia berlandieri,84.8,44.8
acacia choriophylla,90.7,50.7
acacia confusa,90,50
acacia constricta,75.1,35.1
acacia constricta var. constricta,75.1,35.1
acacia constricta var. paucispina,84.8,44.8
acacia cornigera,90.7,50.7
acacia cyclops,79.4,39.4
acacia dealbata,68.4,28.4
acacia decurrens,79.4,39.4
acacia elata,79.4,39.4
acacia farnesiana,80,60
acacia greggii,68.6,28.6
acacia greggii var. greggii,68.6,28.6
acacia greggii var. wrightii,84.8,44.8
acacia koa,90,50
acacia koaia,90,50
acacia longifolia,79.4,39.4
acacia macracantha,80,60
acacia mearnsii,90,50
acacia melanoxylon,90,50
acacia millefolia,73.4,33.4
acacia muricata,80,60
acacia neovernicosa,84.8,44.8
acacia nilotica,80,60
acacia paradoxa,79.4,39.4
acacia parramattensis,90,50
acacia pinetorum,90.7,50.7
acacia podalyriifolia,79.4,39.4
acacia polyacantha,80,60
acacia pycnantha,79.4,39.4
acacia redolens,79.4,39.4
acacia retinodes,90.7,50.7
acacia retusa,80,60
acacia rigidula,84.8,44.8
acacia roemeriana,84.8,44.8
acacia saligna,79.4,39.4
acacia schaffneri,84.8,44.8
acacia schaffneri var. bravoensis,84.8,44.8
acacia schottii,84.8,44.8
acacia sphaerocephala,90.7,50.7
acacia tortuosa,80,60
acacia verticillata,79.4,39.4
acacia vogeliana,80,60
acaena,68.4,28.4
acaena exigua,90,50
acaena novae-zelandiae,68.4,28.4
acaena pallida,79.4,39.4
acaena pinnatifida,79.4,39.4
acaena pinnatifida var. californica,79.4,39.4
acalypha,80,60
acalypha alopecuroidea,80,60
acalypha amentacea,80,60
acalypha amentacea ssp. wilkesiana,80,60
acalypha arvensis,90.7,50.7
acalypha australis,65.4,25.4
acalypha berteriana,80,60
acalypha bisetosa,80,60
acalypha californica,79.4,39.4
acalypha chamaedryfolia,80,60
acalypha deamii,75.1,35.1
acalypha gracilens,63.1,23.1
acalypha hispida,80,60
acalypha mexicana,80.3,40.3
acalypha monococca,84.8,44.8
acalypha monostachya,84.8,44.8
acalypha neomexicana,84.8,44.8
acalypha ostryifolia,80,60
acalypha phleoides,84.8,44.8
acalypha poiretii,80,60
acalypha portoricensis,80,60
acalypha radians,84.8,44.8
acalypha rhomboidea,80,60
acalypha setosa,80,60
acalypha virginica,71.8,31.8
acamptopappus,68.6,28.6
acamptopappus shockleyi,69.9,29.9
acamptopappus sphaerocephalus,68.6,28.6
acamptopappus sphaerocephalus var. hirtellus,69.9,29.9
acamptopappus sphaerocephalus var. sphaerocephalus,68.6,28.6
acanthocereus,80,60
acanthocereus tetragonus,80,60
acanthomintha,79.4,39.4
acanthomintha duttonii,79.4,39.4
acanthomintha ilicifolia,79.4,39.4
acanthomintha lanceolata,79.4,39.4
acanthomintha obovata,79.4,39.4
acanthomintha obovata ssp. cordata,79.4,39.4
acanthomintha obovata ssp. obovata,79.4,39.4
acanthospermum,80,60
acanthospermum australe,75.1,35.1
acanthospermum hispidum,80,60
acanthospermum humile,82.4,42.4
acanthus,79.4,39.4
acanthus mollis,79.4,39.4
acer,80,60
acer barbatum,75.1,35.1
acer campestre,80,60
acer circinatum,80,60
acer ×freemanii,80,60
acer ginnala,80,60
acer glabrum,80,60
acer glabrum var. diffusum,68.6,28.6
acer glabrum var. douglasii,80,60
acer glabrum var. glabrum,62,22
acer glabrum var. greenei,79.4,39.4
acer glabrum var. neomexicanum,68.6,28.6
acer glabrum var. torreyi,68.4,28.4
acer grandidentatum,62,22
acer grandidentatum var. grandidentatum,62,22
acer grandidentatum var. sinuosum,84.8,44.8
acer japonicum,80,60
acer leucoderme,84.8,44.8
acer macrophyllum,80,60
acer negundo,80,60
acer negundo var. arizonicum,73.4,33.4
acer negundo var. californicum,79.4,39.4
acer negundo var. interius,62,22
acer negundo var. negundo,80,60
acer negundo var. texanum,75.1,35.1
acer negundo var. violaceum,62,22
acer nigrum,80,60
acer palmatum,80,60
acer pensylvanicum,80,60
acer platanoides,80,60
acer pseudoplatanus,80,60
acer rubrum,80,60
acer rubrum var. drummondii,75.1,35.1
acer rubrum var. rubrum,80,60
acer rubrum var. trilobum,80,60
acer saccharinum,80,60
acer saccharum,80,60
acer saccharum var. saccharum,80,60
acer saccharum var. schneckii,77.6,37.6
acer spicatum,80,60
acer tataricum,70.1,30.1
achillea,80,60
achillea ageratum,65.4,25.4
achillea alpina,80,60
achillea distans,80,60
achillea filipendulina,80,60
achillea ligustica,62.9,22.9
achillea millefolium,80,60
achillea millefolium var. alpicola,62,22
achillea millefolium var. arenicola,79.4,39.4
achillea millefolium var. borealis,80,60
achillea millefolium var. californica,68.3,28.3
achillea millefolium var. gigantea,79.4,39.4
achillea millefolium var. litoralis,68.4,28.4
achillea millefolium var. megacephala,80,60
achillea millefolium var. millefolium,80,60
achillea millefolium var. nigrescens,80,60
achillea millefolium var. occidentalis,80,60
achillea millefolium var. pacifica,68.3,28.3
achillea millefolium var. puberula,79.4,39.4
achillea nobilis,62.7,22.7
achillea pannonica,80,60
achillea ptarmica,80,60
achillea sibirica,60.4,20.4
achlys,80,60
achlys californica,80,60
achlys triphylla,80,60
achnatherum,80,60
achnatherum aridum,68.6,28.6
achnatherum ×bloomeri,62,22
achnatherum brachychaetum,68.4,28.4
achnatherum capense,79.4,39.4
achnatherum caudatum,68.4,28.4
achnatherum clandestinum,84.8,44.8
achnatherum contractum,62,22
achnatherum coronatum,79.4,39.4
achnatherum curvifolium,84.8,44.8
achnatherum diegoense,79.4,39.4
achnatherum eminens,84.8,44.8
achnatherum hendersonii,68.3,28.3
achnatherum hymenoides,80,60
achnatherum latiglume,79.4,39.4
achnatherum lemmonii,80,60
achnatherum lemmonii var. lemmonii,68.3,28.3
achnatherum lemmonii var. pubescens,79.4,39.4
achnatherum lettermanii,62,22
achnatherum lobatum,84.8,44.8
achnatherum nelsonii,80,60
achnatherum nelsonii ssp. dorei,80,60
achnatherum nelsonii ssp. nelsonii,80,60
achnatherum nevadense,62,22
achnatherum occidentale,80,60
achnatherum occidentale ssp. californicum,80,60
achnatherum occidentale ssp. occidentale,79.4,39.4
achnatherum occidentale ssp. pubescens,80,60
achnatherum parishii,68.6,28.6
achnatherum parishii var. depauperatum,68.6,28.6
achnatherum parishii var. parishii,68.6,28.6
achnatherum perplexum,68.6,28.6
achnatherum pinetorum,62,22
achnatherum richardsonii,80,60
achnatherum robustum,62,22
achnatherum scribneri,62,22
achnatherum speciosum,68.6,28.6
achnatherum stillmanii,79.4,39.4
achnatherum swallenii,62,22
achnatherum thurberianum,62,22
achnatherum wallowaensis,68.4,28.4
achnatherum webberi,68.6,28.6
×achnella,80,60
×achnella caduca,80,60
achyrachaena,68.4,28.4
achyrachaena mollis,68.4,28.4
achyranthes,80,60
achyranthes aspera,80,60
achyranthes aspera var. aspera,80,60
achyranthes aspera var. pubescens,80,60
achyranthes atollensis,90,50
achyranthes japonica,71.8,31.8
achyranthes japonica var. hachijoensis,71.8,31.8
achyranthes mutica,90,50
achyranthes splendens,90,50
achyranthes splendens var. rotundata,90,50
achyranthes splendens var. splendens,90,50
achyronychia,68.6,28.6
achyronychia cooperi,68.6,28.6
acicarpha,82.4,42.4
acicarpha tribuloides,82.4,42.4
acinos,80,60
acinos arvensis,80,60
acisanthera,80,60
acisanthera quadrata,80,60
acleisanthes,84.8,44.8
acleisanthes acutifolia,84.8,44.8
acleisanthes anisophylla,84.8,44.8
acleisanthes crassifolia,84.8,44.8
acleisanthes longiflora,84.8,44.8
acleisanthes obtusa,84.8,44.8
acleisanthes wrightii,84.8,44.8
acmella,80,60
acmella decumbens,72.7,32.7
acmella iodiscaea,80,60
acmella oppositifolia,84.8,44.8
acmella oppositifolia var. repens,84.8,44.8
acmella pilosa,90.7,50.7
acmella pusilla,80,60
acnistus,80,60
acnistus arborescens,80,60
acoelorrhaphe,90.7,50.7
acoelorrhaphe wrightii,90.7,50.7
aconitum,80,60
aconitum ×bicolor,80,60
aconitum columbianum,80,60
aconitum columbianum ssp. columbianum,80,60
aconitum columbianum ssp. viviparum,68.4,28.4
aconitum delphiniifolium,80,60
aconitum delphiniifolium ssp. chamissonianum,46.6,6.6
aconitum delphiniifolium ssp. delphiniifolium,80,60
aconitum delphiniifolium ssp. paradoxum,80,60
aconitum infectum,80.3,40.3
aconitum lycoctonum,80,60
aconitum maximum,46.6,6.6
aconitum napellus,80,60
aconitum noveboracense,63.1,23.1
aconitum reclinatum,71.8,31.8
aconitum uncinatum,71.8,31.8
aconitum uncinatum ssp. muticum,71.8,31.8
aconitum uncinatum ssp. uncinatum,71.8,31.8
aconitum variegatum,80,60
acorus,80,60
acorus americanus,80,60
acorus calamus,80,60
acourtia,68.6,28.6
acourtia microcephala,79.4,39.4
acourtia nana,84.8,44.8
acourtia runcinata,84.8,44.8
acourtia thurberi,73.4,33.4
acourtia wrightii,68.6,28.6
acrachne,79.4,39.4
acrachne racemosa,79.4,39.4
acrocomia,80,60
acrocomia media,80,60
acrocomia totai,90.7,50.7
acroptilon,80,60
acroptilon repens,80,60
acrostichum,80,60
acrostichum aureum,80,60
acrostichum danaeifolium,80,60
actaea,80,60
actaea arizonica,80.3,40.3
actaea elata,80,60
actaea laciniata,68.3,28.3
actaea ×ludovici,80,60
actaea pachypoda,80,60
actaea podocarpa,71.8,31.8
actaea racemosa,80,60
actaea racemosa var. dissecta,75.3,35.3
actaea racemosa var. racemosa,80,60
actaea rubifolia,75.1,35.1
actaea rubra,80,60
actaea rubra ssp. arguta,80,60
actaea rubra ssp. rubra,80,60
