Time,Light,Temperature,Humidity,Pressure
31:46.7,"681
","22.00
","29.00
","99225.00
"
31:48.2,"684
","22.00
","29.00
","99226.00
"
31:49.7,"682
","22.00
","29.00
","99220.00
"
31:51.2,"681
","22.00
","29.00
","99221.00
"
31:52.8,"685
","22.00
","29.00
","99224.00
"
31:54.3,"680
","22.00
","29.00
","99223.00
"
31:55.8,"674
","22.00
","28.00
","99224.00
"
31:57.3,"686
","22.00
","28.00
","99222.00
"
31:58.9,"676
","22.00
","28.00
","99222.00
"
32:00.4,"679
","22.00
","28.00
","99224.00
"
32:01.9,"679
","22.00
","28.00
","99223.00
"
32:03.4,"680
","22.00
","28.00
","99222.00
"
32:05.0,"678
","22.00
","28.00
","99225.00
"
32:06.5,"677
","22.00
","28.00
","99224.00
"
32:08.1,"676
","22.00
","28.00
","99222.00
"
32:09.5,"679
","22.00
","28.00
","99223.00
"
32:11.1,"677
","22.00
","28.00
","99224.00
"
32:12.6,"678
","22.00
","28.00
","99224.00
"
32:14.2,"679
","22.00
","28.00
","99222.00
"
32:15.7,"680
","22.00
","28.00
","99225.00
"
32:17.2,"680
","22.00
","28.00
","99225.00
"
32:18.7,"663
","22.00
","28.00
","99224.00
"
32:20.2,"658
","22.00
","28.00
","99227.00
"
32:21.8,"679
","22.00
","28.00
","99224.00
"
32:23.3,"122
","22.00
","28.00
","99224.00
"
32:24.8,"39
","22.00
","28.00
","99226.00
"
32:26.3,"26
","22.00
","28.00
","99222.00
"
32:27.9,"626
","22.00
","28.00
","99224.00
"
32:29.4,"639
","22.00
","29.00
","99227.00
"
32:30.9,"381
","22.00
","29.00
","99231.00
"
32:32.4,"341
","22.00
","29.00
","99225.00
"
32:34.0,"75
","22.00
","29.00
","99225.00
"
32:35.5,"33
","22.00
","28.00
","99227.00
"
32:37.0,"39
","22.00
","28.00
","99224.00
"
32:38.6,"42
","22.00
","28.00
","99227.00
"
